tweet_id,russian,english,sentiment
10,"Путин рассказал, будут ли вводить в России военное положение https://t.co/45axsGvJSh",Putin told whether martial position will be introduced in Russia https://t.co/45axsgvjsh,neutral
11,@SobolLubov Путин спрятал Навального от людей,@Sobollubov Putin hid the navalny from people,negative
12,"@john_kaiff Ну вот не сдадутся они - что сделает сумашедший путин? Разбомбит их города с помщью рсзо град, смерчь, и что лучше? Умереть, быть беженцем или жить под властью кровавого диктатора?","@John_Kaiff Well, here they will not give up - what will make a mad Putin? Broading their cities with a chance of RSZO Grad, to merge, and what is better? Die, be a refugee or live under the rule of the bloody dictator? ",negative
13,"Учитывая, что Путин ограничил русским количество вывозимых наличных средств (и в ближайшее время ещё больше  ограничит), выехать из России скоро станет физически невозможно. https://t.co/UKjLy6HdwT","Given that Putin restricted the Russian amount of exported cash (and in the near future will restrict it even more), it will be physically impossible to leave Russia soon. https://t.co/ukjly6hdwt. ",negative
14,"@ToporGarri Когда я смотрю вокруг, я понимаю, что Путин ТВ справилась со своей задачей перфектно. Поэтому я уже думаю, что они будут жрать своё дерьмо, при этом причмокивать и славить Путина! Это какое-то уникальное по своей тупости, слепоте и равнодушию население…🤦‍♀️😏","@Toporgarri When I look around, I understand that Putin TV coped with his task perfectly. Therefore, I already think that they will eat their shit, at the same time combine and put Putin! This is some kind of unique in its stupidity, blindness and indifference population ... 🤦♀️😏 ",negative
15,@tass_agency Весь мир против тебя путин! https://t.co/FvmqgfdtNh,@tass_agency The whole world against you Putin! https://t.co/fvmqgfdtnh,negative
16,"Путин подписал указ о выплатах семьям военных, погибших в спецоперации https://t.co/SdrlUrV4qM",Putin signed a decree of payments to the families of the military who died in the special operation https://t.co/sdrlurv4qm,neutral
17,"@sincity8512 Путин - военный преступник и международный террорист.
Путина нужно как можно скорее поймать и судить как С.Милошевича когда-то.
Нет Путина = Нет Войны.",@ Sincity8512 Putin is a military criminal and an international terrorist.  Putin needs to catch as soon as possible and judge as S. Miloshevich once.  No Putin = no war.,negative
18,"@Chaotic_motion @r0mko Говорил с таким. Он утверждал, что Путин нас спас, т.к. НАТО завезло бы ракеты в Украину, а через пару лет они бы по нам ёбнули. Объяснить человеку, что начинать войну с ядерной державой для любого демократически избранного лидера - это политическое самоубийство мне не удалось.","@Chaotic_motion @ r0mko spoke with such. He argued that Putin was saved, because NATO would take rockets to Ukraine, and after a couple of years they would like us. To explain to the person that starting the war with a nuclear power for any democratically elected leader is political suicide I failed. ",negative
19,"@PatriotoffUA Путин - военный преступник и международный террорист.
Путина нужно как можно скорее поймать и судить как С.Милошевича когда-то.
Нет Путина = Нет Войны.",@Patriotoffua Putin is a military criminal and an international terrorist.  Putin needs to catch as soon as possible and judge as S. Miloshevich once.  No Putin = no war.,negative
20,"Владимир Путин подписал указ, в соответствии с которым правительство России в двухдневный срок должно определить перечень стран, совершающих в отношении России ""недружественные действия"":
https://t.co/hI1M8O2UzY https://t.co/ZhgGQ67sAD","Vladimir Putin signed a decree, according to which the Government of Russia during a two-day period should determine the list of countries committing ""unfriendly actions"" in relation to Russia:  https://t.co/hi1m8o2uzy https://t.co/zhggq67sad ",neutral
21,Зеля заявил что Путин бросил в бой против него всю свою армию,Zely said that Putin threw in battle against him all his army,neutral
22,"@ChristianFuchs_ Ах, судьба-судьбинушка! Ещё двадцать лет назад Владимир Владимирович Путин сказал о таких персонажах: ""... и в сортирах их будем мочить! ""","@Christianfuchs_ ah, fate-fateful! Twenty years ago, Vladimir Vladimirovich Putin said about such characters: ""... and we will wet them in the sorts!"" ",neutral
23,"&gt; Путин: мы по мирному населению не стреляем
&gt; Зеленский: мы по мирному населению не стреляем
Мирное население: 🗿🗿🗿",& gt; Putin: We do not shoot the peaceful population  & gt; Zelensky: We do not shoot in the peaceful population  Peaceful population: 🗿🗿🗿,neutral
24,"Путин подписал указ о выплатах семьям военных, погибших в спецоперации https://t.co/UcJwaRPlAT",Putin signed a decree on payments to the families of the military who died in the special operation https://t.co/ucjjwarplat,neutral
25,"Путин ""полетал"" на тренажёре SSJ-100 в качестве КВС. Поднял самолёт в воздух заложил несколько виражей.

https://t.co/3jGIdarlQi","Putin ""Flying"" on the simulator SSJ-100 as the KVC. Raised the aircraft in the air laid several aggregates.  https://t.co/3jgidarlqi. ",neutral
26,"@CHOBA_TA_CYKA @kalaturanastasi @I_am_tomatoo @huffminty Чел, мировое сообщество, которому ""всё ясно, это Россия"" глубоко поебать
Помню слышал что-то о том, что на каком-то там выступлении.. кажется, Лаврова, представители других стран встали и ушли
Клали они хуй на то, что говорит Россия и Путин в частности
Никто и не хочет слушать","@Choba_ta_cyka @kalaturanastasi @i_am_tomatoo @huffminty people, a world community, which ""everything is clear, this is Russia"" deeply fuck  I remember heard something about what a speech there .. seems to be Lavrov, representatives of other countries got up and left  They put dick on what Russia and Putin says in particular  No one wants to listen ",negative
27,"@prof_preobr Переживаешь, что тебе теперь перестанут платить, так как ты обосрался, а Путин остался президентом?","@Prof_PreobBr is worried that you will now stop paying, because you crap, and Putin remained president? ",negative
28,@DannyMartynenko Ути путин,@Dannymartynenko Ui Putin,neutral
29,"Путин поддержал отказ от уголовного преследования за экономические преступления

Он отметил, что в сложившихся условиях «выходом может быть только одно — максимальная экономическая свобода для людей, которые занимаются бизнесом» https://t.co/EbsjK0kBIL","Putin supported the refusal of criminal prosecution for economic crimes  He noted that in the current conditions, ""there can be only one thing - the maximum economic freedom for people who are engaged in business"" https://t.co/ebsjk0kbil ",neutral
30,"@Alina_1995J Да! Это было первое, что я подумала. Люди просили мира, а в итоге - война в огромных масштабах. И как потом жить с этой взаимной ненавистью. Путин же не присоединит их, кае Крым, он этого и не обещал.","@ Alina_1995J Yes! It was the first thing I thought. People asked the world, and in the end - the war on a huge scale. And then live with this mutual hatred. Putin will not attach them, Kai Crimea, he did not promise it. ",negative
31,Путин вторгся …. В Россию  https://t.co/KSMa1RZOUi,Putin invaded ... To Russia https://t.co/ksma1rzoui.,negative
32,,"Putin: ""Kyiv must understand - if they continue in the same spirit, then there will be a question about Ukrainian statehood.""  No, it is no coincidence that he said it. It was the last warning of Zelensky, throwing Putin. Putin words to the wind does not throw! He can change their mind ... ",positive
33,"@roizmangbn ""Ошибка выжившего"".
Скажем, все знают, что дельфины толкают тонущего к берегу, так?
Но те тонущие, которых дельфины толкали обратно в океан не расскажут уже ничего.
Были и те, кто с оружием ждали, было всякое; рассказывали.
Путина нужно поймать и судить.
Путин-военный преступник.","@roizmangbn ""Error survived.""  Say, everyone knows that the dolphins pushed the sinking to the shore, right?  But those drowning, whom Dolphins pushed back to the ocean will not tell anything.  There were also those who were waiting for a weapon, there was any; They told.  Putin needs to catch and judge.  Putin-military criminal. ",negative
34,"ПУТИН РАССКАЗАЛ, ЧЕМ ЗАКОНЧИТСЯ РОССИЙСКАЯ СПЕЦОПЕРАЦИЯ НА УКРАИНЕ
https://t.co/gSJp95wWZk https://t.co/dLDq49MDvA",Putin told how Russian special operation will end in Ukraine  https://t.co/gsjp95wwzk https://t.co/dldq49mdva.,neutral
35,@akozenko @marusiaNadia пУтин всегда врет…,@Akozenko @marusianadia Putin always lying ...,negative
36,Посмотрите видео от В.В. Путин 🇷🇺! #TikTok https://t.co/tpnXJmFzcY,Check out the video from V.V. Putin 🇷🇺! #Tiktok https://t.co/tpnxjmfzcy.,neutral
37,Как Путин уничтожает экономику России https://t.co/Hv5pn4kLHv через @YouTube,How Putin destroys the economy of Russia https://t.co/hv5pn4klhv through @youtube,negative
38,"@ok_sirok А я помню ее давнишним лозунгом было:» я иду в президенты, чтобы президент Путин нас услышал»…","@ok_sirok And I remember her long-standing slogan was: ""I am going to the presidents that President Putin heard us"" ... ",neutral
39,"@CHOBA_TA_CYKA @kalaturanastasi @I_am_tomatoo @huffminty Я никого не поддерживаю, ни одну из сторон
Я высказываюсь лишь о том, что хочу мира, но не знаю, кто виноват
Я говорю об отсутствии подтверждённых фактов, позволяющих указывать на то, что за этим стоит именно Путин
Но если он за этим стоит, он поплатится за это сполна","@Choba_ta_cyka @kalaturanastasi @i_am_tomatoo @huffminty I do not support anyone, none of the sides  I am only talking about what I want the world, but I do not know who is to blame  I am talking about the absence of confirmed facts that allow you to point out that Putin worth it  But if he is behind it, he will pay for it in full ",neutral
40,"@onezamkad Будь готов к новостян, что «Путин уничтожает Украину»!)))","@onezamkad Be ready for Novostyan that ""Putin destroys Ukraine""!))) ",negative
41,Путин установил временный порядок исполнения РФ обязательств по внешнему долгу https://t.co/ZlRuCnbdrN,Putin established the temporary procedure for the execution of the Russian Federation obligations under the external debt https://t.co/zlrucnbdrn,neutral
42,"@CHOBA_TA_CYKA Я. Не. Знаю.
Извини, но я не Путин
Если интересно, ищи самостоятельно
А ты думаешь, было бы лучше, если бы их всех убили за год?🤡","@Choba_Ta_Cyka Ya. Not. I know.  Sorry, but I'm not Putin  If interesting, look for yourself  Do you think it would be better if they were all killed for the year? 🤡 ",neutral
43,"@DonCryptoDraper Это Путин виноват! Вернее, даже не Путин, а каждый русский персонально. Всё из-за них.","@Doncryptodraper This Putin is to blame! Rather, not even Putin, and each Russian personally. All because of them. ",negative
44,"Путин встретился с премьером Израиля Беннетом. В ходе встречи они обсудят ситуацию на Украине.

Сейчас подтверждается информация о том, что после встречи с российским лидером Беннета примет канцлер Германии Шольц, сообщил ТАСС со ссылкой на источник в правительственных круга…","Putin met with the Prime Minister of Israel Bennet. During the meeting, they will discuss the situation in Ukraine.  It is now confirmed by the information that after meeting with the Russian leader of Benneta, German Chancellor Scholz will adopt, tested TASS with reference to the source in government circles ... ",neutral
45,"@alexprok2012 @yakOVchinnikov Плюёт Путин на русских в самой России 21 год. Русские от его ""заботы"" просто вымирают. Поэтому ""защита русских"" - лукавая ложь.
Единственное для чего он оккупировал Крым, Донбасс и пытается оккупировать всю Украину - сохранить свою власть в России и показать своё величие.","@ AlexProk2012 @yakovchinnikov spits Putin on Russians in Russia itself 21 years old. Russians from his ""care"" just die out. Therefore, the ""Russian defense"" - dear lies.  The only thing for which he occupied the Crimea, Donbass and tries to occupy the whole of Ukraine - to preserve its power in Russia and show its greatness. ",negative
46,"@elonmusk Великие люди России - это Путин, Лавров, Шойгу и многие другие, которые хотят для своей страны достойного будущего.","@ELONMUSK The Great People of Russia is Putin, Lavrov, Shoigu and many others who want for their country a worthy future. ",positive
47,"Субботним указом объявили о том, что внешние обязательства исполняться де-факто не будут. Путин утверждает, что можно открыть счет  кредитору и ""рассчитаться"" в рублях, то есть не рассчитаться. Последний раз что-то такое было в 1918 про царские долги... Это банкротство. https://t.co/iaO8f4zOsN","Saturday decree announced that external obligations would be executed by de facto. Putin argues that you can open the creditor and ""pay"" in rubles, that is, not to pay. The last time something was in 1918 about the royal debts ... it is bankruptcy. https://t.co/iao8f4zosn. ",negative
48,"@AZhmyhov @unesco_russia @MID_RF @UNESCO @BBC @BowenBBC @AAzoulay @UNESCO_russian @mfa_russia @TawfikJelassi Короче, Путин, тебе пиZда https://t.co/8aLjEF2pPq","@AZhmyhov @unesco_russia @MID_RF @UNESCO @BBC @BowenBBC @AAzoulay @UNESCO_russian @mfa_russia @TawfikJelassi Короче, Путин, тебе пиZда https://t.co/8aLjEF2pPq ",negative
49,"@andreivkozyrev это монтаж, Путин так близко с людьми не садится, где-то были стюардессы,а где-то -он)
 https://t.co/LsUuj5bew3","@Andreivkozyrev is installation, Putin so close with people does not sit down, somewhere there were flight attendants, and somewhere -one)  https://t.co/lsuuj5bew3. ",neutral
50,"Хотя помощь добровольцев не требуется для проведения спецоперации на Украине, много значит сам факт, что граждане России предлагают стране свою помощь, заявил 5 марта президент России Владимир Путин на встрече с работниками авиаотрасли… https://t.co/1Pey1XzEDn","Although the help of volunteers is not required to carry out a special operation in Ukraine, much means the fact that Russian citizens offer their help, said on March 5, Russian President Vladimir Putin at a meeting with aircraft workers ... https://t.co/1pey1xzedn ",positive
51,"Путин подписал указ о порядке выплат некоторым иностранным кредиторам

Правительство определит страны, совершающие в отношении России «недружественные действия», кредиторам из этих стран указ разрешает российским компаниям выплачивать долги в рублях https://t.co/Vil1HdzxzU","Putin signed a decree on the order of payments to some foreign creditors  The government will determine the countries committing ""unfriendly actions"" in relation to Russia, creditors from these countries Decree allows Russian companies to pay debts in rubles https://t.co/vil1hdzxzu ",neutral
52,"@salsaly4 Ну, там такой телевик, что попадает Путин и ещё 3 человека и не сильно-то друг друга перекрывают. Это ЭФР около 100-135 мм. Плюс, всё равно на общем плане нет никаких колонн слева от девушки в красном.","@ SALSALY4 Well, there is such a telephone that Putin falls and 3 more people and not very much each other overlap. This EFR is about 100-135 mm. Plus, still in general terms there is no column to the left of the girl in red. ",neutral
53,"@VeganPapaPhD Вата вата путин телевизор зобмби ахахах, вот мы-то в твиторе умные и понимаем как дела обстоят на самом деле","@VeganpapapHD wata wata Putin TV Zobmby ahahah, here we are smart and understand how things are actually ",negative
54,Путин теряет каплю мочи https://t.co/oi980wgIEz,Putin loses urine drop https://t.co/oi980wgiez,negative
55,"Забыл добавить...Аве Путин, Аве Россия! ✊🇷🇺 https://t.co/upRMGxojiT","Forgot to add ... Ave Putin, Ave Russia! ✊🇷🇺 https://t.co/uprmgxojit. ",positive
56,@think_not_think @andrew_chsh Может Путин вообще уже давно цифровой как 2Рас),@Think_not_think @Andrew_chsh can Putin have long been digital long ago as 2RS),neutral
57,ну ничего с завтра можно снова начать заново до момента пока Путин не сдохнет,"Well, nothing with tomorrow you can start re-start until Putin dies ",negative
58,@Wojt_PL @dw_russian Их тоже Путин убил? Их убили всу. https://t.co/TQgEdZCouN,"@Wojt_pl @dw_russian them, too, Putin killed? They were killed by the VSU. https://t.co/tqgedzcoun. ",negative
59,Путин в истерике по ходу https://t.co/Q8NoDZhlDT,Putin in hysterics in the course of https://t.co/q8nodzhldt,negative
60,"К сожалению, это было необходимо сделать, чтобы иметь возможность продолжать работу, фиксировать каждый ход войны — в будущем это обязательно пригодится для суда. Да и для истории. Не хочу чтобы в учебниках истории было написано то, что хочет Путин.","Unfortunately, it was necessary to do to be able to continue working, fix each course of the war - in the future it will be useful for the court. Yes, and for history. I do not want that in the textbooks history it was written what Putin wants. ",negative
61,Путин установил временный порядок исполнения РФ обязательств по внешнему долгу https://t.co/4LDktnAepD,Putin has established a temporary order of execution of the Russian Federation obligations under the external debt https://t.co/4ldktnaepd,neutral
62,"Ошибка Путина в том, что он был уверен, что украинцы НЕ будут воевать. 
Ошибка Зеленского в том, что он думал, что НАТО будет воевать. 
Ошибка НАТО в том, что оно думает, что Путин наестся Украиной, то ей не придется воевать. Напрасно, Путина гонит страх, а у страха глаза велики.","Putin's mistake is that he was sure that Ukrainians would not fight.  Error Zelensky is that he thought NATO will fight.  NATO error is that it thinks that Putin will nasty Ukraine, she does not have to fight. In vain, Putin drives fear, and fear is great. ",negative
63,"Владимир Путин упростил въезд в Россию с территорий ДНР, ЛНР и Украины. https://t.co/nKDTOVOwbD","Vladimir Putin simplified entry into Russia from the territories of the DNR, LNR and Ukraine. https://t.co/nkdtovowbd. ",neutral
64,"На Украине нацизм фактически узаконили, неонацистов поддерживают, двигают во власть, радикалов не усмиряют, заявил 5 марта президент России Владимир Путин на встрече с работниками авиаотрасли.
https://t.co/Au9YE7xsMv https://t.co/Au9YE7xsMv","In Ukraine, Nazism was actually legalized, neo-Nazis supported, move to power, the radicals did not satisfy, said on March 5, Russian President Vladimir Putin at a meeting with employees of aircraft.  https://t.co/au9ye7xsmv https://t.co/au9ye7xsmv ",positive
65,"@CHOBA_TA_CYKA @I_am_tomatoo @huffminty Слушай, в разных странах говорят разное
Вам говорят, что Путин на переговоры не идёт, нам - Зеленский
Я не знаю, из каких источников ты берёшь информацию, точные они или нет и вса такое..
Своими я тоже не могу похвастаться, однако, думаю, без военного исхода вряд ли бы вышло","@Choba_ta_cyka @i_am_tomatoo @huffminty Listen, in different countries they say different  You are told that Putin does not go to negotiations, we are Zelensky  I do not know which sources you take the information, they are exact or not and there is such ..  I also can't boast of my own, however, I think, without a military outcome, it would hardly happen ",positive
66,"@chexxerr @alldenster @RadioStydoba Войну до сих пор никто не объявлял, ни Путин, ни Зеленский! Идёт операция по защите Украины от нацисткого режима пришедшего к власти и денацификация нациков. Украина, также как и Россия и Америка многонациональная страна!","@Chexxerr @alldenster @radiostydoba war still no one declared nor Putin nor Zelensky! There is an operation on the protection of Ukraine from the national regime that came to power and denazification of Natsiks. Ukraine, as well as Russia and America, a multinational country! ",positive
67,"Владимир Путин подписал указ о временном порядке исполнения обязательств перед некоторыми иностранными кредиторами: 
https://t.co/98UiyZIK7a https://t.co/rzh3uBY1a5",Vladimir Putin signed a decree on the temporary order of fulfillment of obligations to some foreign creditors:  https://t.co/98uiyzik7a https://t.co/rzh3uby1a5.,neutral
68,"@timogen777 Путин никогда не оговаривается. Все его слова взвешены и просчитаны. 
Так победим!",@ TimoGen777 Putin is never stipulated. All of his words weighed and calculated.  So we defeat!,positive
69,"@rustembeylimila @KJIABUATYP @RT_russian Причём здесь зло? Во-первых, обстрелы Донецка и Луганска после 8 лет так и не прекратились. Там мирные гибли и продолжают гибнуть. Во-вторых, они не прекратились даже когда Путин признал ЛДНР.  Минские были подписаны и не выполнены с 15 года.И надо было ещё 8 лет на это смотреть?","@Rustembeylimila @kjiabuatyp @RT_Russian and here evil? First, the shelling of Donetsk and Lugansk after 8 years have not stopped. There peaceful days and continue to die. Secondly, they did not stop even when Putin admitted LDNR. Minski were signed and not fulfilled from 15 years. And I had to look at it for another 8 years? ",positive
70,"Путин упростил въезд в Россию с территорий ДНР, ЛНР и Украины, сообщили в Кремле.
-
Ой, вот с украины как-то напрягает. Я понимаю, речь о беженцах. Но вот как бы под их видом не просочилось разное :(","Putin simplified entry into Russia from the territories of the DNR, LNR and Ukraine, the Kremlin said.  -  Oh, from Ukraine somehow strains. I understand, we are talking about refugees. But, as if under their appearance, it was not survived: ( ",neutral
71,"🇷🇺🇮🇱 Президент России Владимир Путин провёл с Нафтали Беннетом переговоры, в ходе которых обсуждались различные аспекты ситуации на Украине в контексте специальной военной операции России по защите Донбасса.

🔗 https://t.co/iEwS7dj4FP https://t.co/scNfyN9DLg","🇷🇺🇮🇱 Russian President Vladimir Putin held negotiations from Naftali, during which various aspects of the situation in Ukraine were discussed in the context of the Special Military Operation of Russia for the protection of Donbass.  🔗 https://t.co/iews7dj4fp https://t.co/scnfyn9dlg. ",positive
72,"@rianru Безумный криминальный диктатор Владимир Путин приносит много позора и страданий матушке-России.
У кого хватит смелости свергнуть его?",@Rianru Mad criminal dictator Vladimir Putin brings a lot of shame and suffering from Mother Russia.  Who has the courage to overthrow it?,negative
73,"Моя бабушка: да в этих интернетах сплошные фэйки! Любое видео можно подделать, я не знаю, где это происходит!!! 😡
Так же она: ну нет, Путин нам не врёт, вот всё видео по телевизору!!! 😤

Видео по ТВ: https://t.co/CIfV3VNRJW","My grandmother: Yes, in these Internet, solid fakes! Any video can be faked, I do not know where it happens !!! 😡  Also she: Well, no, Putin is not lying to us, that's all the video on TV !!! 😤  Video on TV: https://t.co/cifv3vnrjw ",negative
74,"Владимир Путин и Нафтали Беннет обсудили ситуацию на Украине

5 марта по взаимной договоренности состоялся краткий рабочий визит в Москву премьер-министра Израиля, сообщает пресс-служба Кремля https://t.co/T5NvPyI4DW","Vladimir Putin and Naftali Bennet discussed the situation in Ukraine  March 5, by mutual agreement, a brief business visit to Moscow of Israel Prime Minister was held, the Kremlin press service reports https://t.co/t5nvpyi4dw ",neutral
75,"Путин подписал указ о дополнительных соцгарантиях военнослужащим, лицам, проходящим службу в войсках нацгвардии, и членам их семей. Семьям военных, погибших в ходе операции на Украине, выплатят пять миллионов рублей. Также он упростил въезд в Россию с территорий ЛДНР и Украины https://t.co/lPstSuZJZQ","Putin signed a decree on additional social garants to servicemen, persons undergoing service in the troops of the National Guard, and their family members. Families of the military who died during the operation in Ukraine will pay five million rubles. He also simplified entry into Russia from the territories of LDNR and Ukraine https://t.co/lpstsuzjzq ",neutral
76,"@rianru Ну да да, потому что путин кто? Бог? Ленин в мовзолее скучяет один..","@Rianru Well, yes, because Putin who? The God? Lenin in Movzolea is boring one .. ",negative
77,"@PKudinov А, военный преступник - Путин!","@Pkudinov a, military criminal - Putin! ",negative
78,"⚡ Путин подписал указ о дополнительной выплате в 5 млн рублей семьям военных РФ, погибших в ходе операции по защите Донбасса, сообщили в Кремле",⚡ Putin signed a decree on additional payment of 5 million rubles to the families of the military Russian Federation who died during the administration of the protection of the Donbass reported in the Kremlin,neutral
79,"Такое ощущение, что ""антикризисные меры"" правительству России писала Айн Рэнд. Путин разгромил либеральную оппозицию, но принял её экономическую программу. Во время войны и санкций будем строить здесь либертарианскую утопию","It seems that ""anti-crisis measures"" by the Government of Russia wrote Ain Rand. Putin defeated the liberal opposition, but accepted its economic program. During the war and sanctions, we will build here Libertarian utopia ",positive
80,"«Пошли другим путем» // Владимир Путин впервые рассказал, почему «спецоперацию» не ограничили Донбассом https://t.co/q6QT6wE3eP https://t.co/QbKR3zcw8Z","""Let's go to another"" // Vladimir Putin first told why ""special operation"" was not limited to the Donbass https://t.co/q6qt6we3ep https://t.co/qbkr3zcw8z ",neutral
81,"Путин подписал указ об упрощении въезда в Россию с территорий ДНР, ЛНР и Украины https://t.co/ovXlhOMJx1","Putin signed a decree on the simplification of entry into Russia from the territories of the DNR, LNR and Ukraine https://t.co/ovxlhomjx1 ",neutral
82,Путин установил допвыплаты при гибели или ранении военных в спецоперации https://t.co/vkvQWhGhrK,Putin has established additional payments at the death or injury of the military in the special operation https://t.co/vkvqwhghrk,neutral
83,Путин подписал указ о временном порядке исполнения обязательств перед некоторыми иностранными кредиторами https://t.co/EkJXPdPsBr,Putin signed a decree on the temporary order of fulfillment of obligations to some foreign creditors https://t.co/ekjxpdpsbr,neutral
84,"Путин упростил въезд в Россию с территорий ДНР, ЛНР и Украины https://t.co/28s2qL92pU","Putin simplified entry into Russia from the territories of the DNR, LNR and Ukraine https://t.co/28s2ql92pu ",neutral
85,Путин подписал указ о дополнительных социальных гарантиях военнослужащим и членам их семей https://t.co/SQPYTW5mtT https://t.co/8lD3OfZL2d,Putin signed a decree on additional social guarantees to military personnel and members of their families https://t.co/sqpytw5mtt https://t.co/8ld3ofzl2d,neutral
86,"Владимир Путин подписал указ о дополнительной выплате в 5 млн рублей семьям военных РФ, погибших в ходе операции по защите Донбасса. https://t.co/1w7GyKTM1m",Vladimir Putin signed a decree on additional payment of 5 million rubles to the families of the military Russian Federation who died during the Dovbassa protection operation. https://t.co/1W7GYKTM1M.,neutral
87,"Владимир Путин упростил въезд в Россию с территорий ДНР, ЛНР и Украины, сообщили в Кремле:
https://t.co/09mjG9EBgb https://t.co/T6GF2eW62L","Vladimir Putin simplified entry into Russia from the territories of the DNR, LNR and Ukraine, reported in the Kremlin:  https://t.co/09mjg9bgb https://t.co/t6gf2ew62l ",neutral
88,"❗️Владимир Путин упростил въезд в Россию с территорий #ДНР, #ЛНР и #Украины — Кремль.","❗️Vladimir Putin simplified entry into Russia from territories # DNR, # LNR and # Ukraine - Kremlin. ",neutral
89,"@OfTheLamplight @greendreamz1 @JoeBiden Вы как Путин только честнее. 
Вы говорите что непонимание меня.

А Путин говорит вещи противоречащие законам природы и раздражён что не слушают его. 
Ну какой здравомыслящий будет слушать бред?

Без обид.","@Ofthelamplight @ Greendreamz1 @joebiden You like Putin is only more honest.  You say that misunderstanding me.  And Putin says things that contradict the laws of nature and annoyed that they do not listen to him.  Well, what kind of sensible will listen to nonsense?  No offense. ",negative
90,"Владимир Путин упростил въезд в Россию с территорий ДНР, ЛНР и Украины — Кремль.

@tv360","Vladimir Putin has simplified entry into Russia from the territories of the DNR, LNR and Ukraine - the Kremlin.  @ TV360. ",neutral
91,Защищайтесь там. Путин идёт.,Secure there. Putin goes.,negative
92,"Путин подписал указ о дополнительной выплате в 5 млн рублей семьям военных РФ, погибших в ходе операции по защите Донбасса, сообщили в Кремле: 
https://t.co/DwPhrKoUMZ https://t.co/n8HidboCZf","Putin signed a decree on additional payments of 5 million rubles to the families of the military of the Russian Federation who died during the Dovbassy operation, reported in the Kremlin:  https://t.co/dwphrkoumz https://t.co/n8hidboczf. ",neutral
93,"Недостаточно просто помогать военным Донбасса на линии соприкосновения, спецоперация нужна была, поскольку украинским националистам бесконечно помогали бы с Запада, заявил 5 марта президент РФ Владимир Путин на встрече с работниками авиаотрасли… https://t.co/YaxM8nQedA","It is not enough to just help the Military Donbass on the line of contact, the special operation was needed, since the Ukrainian nationalists would have helped the Russian nationalists from the West, said on March 5, Russian President Vladimir Putin declared at a meeting with employees of aircraft ... https://t.co/yaxm8nqeda ",positive
94,"Путин подписал указ о дополнительных соцгарантиях военнослужащим, лицам, проходящим службу в войсках нацгвардии России, и членам их семей.

@tv360","Putin has signed a decree on additional social garants to military personnel, persons undergoing service in the army of the National Guard of Russia and their family members.  @ TV360. ",neutral
